Date,Visitors
1/1/14,766525
2/1/14,722395
3/1/14,823804
4/1/14,959222
5/1/14,884969
6/1/14,850145
7/1/14,1036531
8/1/14,913800
9/1/14,875877
10/1/14,1011094
11/1/14,955394
12/1/14,1019455
1/1/15,1018348
2/1/15,1200651
3/1/15,1243295
4/1/15,1463927
5/1/15,1384930
6/1/15,1363207
7/1/15,1620334
8/1/15,1570066
9/1/15,1362193
10/1/15,1527602
11/1/15,1390779
12/1/15,1500511
1/1/16,1609529
2/1/16,1675569
3/1/16,1658047
4/1/16,1734776
5/1/16,1588223
6/1/16,1694543
7/1/16,1969084
8/1/16,1777302
9/1/16,1618407
10/1/16,1758625
11/1/16,1587947
12/1/16,1756814
1/1/17,2019799
2/1/17,1804729
3/1/17,1838801
4/1/17,2126452
5/1/17,1957787
6/1/17,2035241
7/1/17,2324094
8/1/17,2193108
9/1/17,1959924
10/1/17,2201150
11/1/17,2057527
12/1/17,2197784
1/1/18,2207383
2/1/18,2247213
3/1/18,2172981
4/1/18,2431001
5/1/18,2283887
6/1/18,2341033
7/1/18,2430752
8/1/18,2255148
9/1/18,1817035
10/1/18,2191009
11/1/18,2094808
12/1/18,2285668
